Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Bradley Archie, SI, FF,33.3,33.041504
Bradley Archie, SI, KC,21.6,21.74001
Brash Matt, FF, SL,34.3,34.16171
Brash Matt, FF, KC,28.3,28.62584
Brasier Ryan, FF, SL,31.8,32.384502
Brasier Ryan, FF, SI,35.5,35.521755
Brebbia John, SL, FF,29.0,29.034437
Brentz Jake, FF, SL,20.0,20.414574
Brieske Beau, FF, CH,32.1,31.95405
Brieske Beau, FF, SL,19.3,19.176586
Brieske Beau, FF, SI,26.2,26.518127
Brigham Jeff, SL, FF,25.0,24.703165
Brogdon Connor, CH, FF,31.1,31.157894
Brogdon Connor, CH, FC,27.9,27.847311
Brubaker JT, SI, SL,39.8,39.873386
Brubaker JT, SI, CU,35.6,34.816147
Brubaker JT, SI, FF,13.4,14.187268
Brubaker JT, SI, CH,20.6,20.43028
Bruihl Justin, FC, SL,29.0,29.04552
Bubic Kris, FF, CH,31.9,32.040005
Bubic Kris, FF, CU,18.6,19.17171
Buehler Walker, FF, FC,37.9,37.11909
Buehler Walker, FF, KC,34.8,34.376087
Buehler Walker, FF, SL,43.0,42.10021
Buehler Walker, FF, CH,42.2,40.846054
Bumgarner Madison, FC, FF,21.3,21.462103
Bumgarner Madison, FC, CU,28.1,27.997648
Bumgarner Madison, FC, CH,32.3,31.898277
Bummer Aaron, SI, SL,33.3,33.340023
Bundy Dylan, FF, SL,36.5,36.203888
Bundy Dylan, FF, CH,40.4,40.279465
Bundy Dylan, FF, SI,41.0,40.90539
Bundy Dylan, FF, CU,16.7,17.26777
Burke Brock, FF, SL,33.0,32.323833
Burke Brock, FF, CH,40.5,39.075066
Burnes Corbin, FC, CU,40.1,39.712322
Burnes Corbin, FC, SL,39.9,38.870243
Burnes Corbin, FC, CH,31.0,31.052917
Burnes Corbin, FC, SI,23.5,23.79211
Burr Ryan, FF, FC,22.2,22.69657
Bush Matt, FF, CU,34.9,35.013763
Bush Matt, FF, FC,30.6,30.335451
Cabrera Edward, CH, FF,19.2,19.301126
Cabrera Edward, CH, CU,33.3,33.30787
Cabrera Edward, CH, SL,36.1,35.981148
Cabrera Génesis, FF, CU,20.0,20.2499
Cabrera Génesis, FF, CH,36.6,36.16553
Cabrera Génesis, FF, SI,45.5,45.508354
Cano Yennier, SI, SL,26.0,26.078005
Cano Yennier, SI, CH,40.0,40.07782
Carrasco Carlos, FF, SL,44.0,42.80253
Carrasco Carlos, FF, CH,44.2,44.014603
Carrasco Carlos, FF, SI,33.7,33.61266
Carrasco Carlos, FF, CU,33.3,33.213856
Castano Daniel, FC, SL,26.2,26.657959
Castano Daniel, FC, CH,40.0,40.071136
Castano Daniel, FC, FF,21.9,21.674725
Castellanos Humberto, SI, SL,24.5,24.00296
Castellanos Humberto, SI, CU,25.9,25.733967
Castellanos Humberto, SI, CH,41.0,40.724075
Castellanos Humberto, SI, FF,15.8,17.068518
Castillo Diego, SL, SI,21.0,21.07303
Castillo Luis, FF, CH,32.2,32.708363
Castillo Luis, FF, SI,27.0,26.955387
Castillo Luis, FF, SL,31.6,31.264177
Castillo Max, FF, CH,35.7,35.51583
Castro Anthony, SL, FF,23.3,23.194166
Castro Miguel, SL, SI,14.6,14.585006
Castro Miguel, SL, CH,40.3,40.20122
Cease Dylan, SL, FF,27.9,27.582645
Cease Dylan, SL, KC,19.0,19.424866
Cease Dylan, SL, CH,12.5,12.330317
Cessa Luis, SL, SI,27.6,27.582619
Cessa Luis, SL, CH,42.3,41.550583
Cessa Luis, SL, FF,18.8,19.082256
