Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Kennedy Ian, FF, CH,27.0,27.022104
Kershaw Clayton, SL, FF,16.1,16.179842
Kershaw Clayton, SL, CU,32.5,32.658413
Keuchel Dallas, SI, CH,39.0,39.235046
Keuchel Dallas, SI, FC,41.7,40.527237
Keuchel Dallas, SI, SL,32.7,32.74982
Keuchel Dallas, SI, FF,12.9,12.781272
Kikuchi Yusei, FF, SL,41.9,41.362667
Kikuchi Yusei, FF, CH,30.9,31.003567
Kikuchi Yusei, FF, FC,22.5,22.708921
Kilian Caleb, SI, FC,18.9,18.977968
Kilian Caleb, SI, FF,17.9,17.906343
Kimbrel Craig, FF, KC,31.7,31.631802
King John, SI, CH,34.9,34.75397
King John, SI, SL,25.0,25.087736
King John, SI, FC,39.3,38.859043
King Michael, SI, SL,27.3,27.338339
King Michael, SI, FF,33.0,32.26895
King Michael, SI, CH,41.3,40.995255
Kinley Tyler, SL, FF,15.7,15.806964
Kirby George, FF, SL,22.1,22.31884
Kirby George, FF, CU,21.0,20.660912
Kirby George, FF, CH,28.2,28.29286
Kittredge Andrew, SI, SL,58.2,57.192802
Kluber Corey, FC, SI,20.9,21.581053
Kluber Corey, FC, CU,38.2,37.941105
Kluber Corey, FC, CH,44.7,44.001095
Knebel Corey, FF, KC,20.1,20.691889
Koenig Jared, SI, CU,34.3,34.464916
Koenig Jared, SI, FC,17.1,17.668783
Koenig Jared, SI, CH,16.2,16.884428
Koenig Jared, SI, FF,25.0,24.855085
Kolarek Adam, SI, SL,18.9,19.225407
Kopech Michael, FF, SL,28.7,29.390383
Kopech Michael, FF, CU,19.6,19.697773
Kowar Jackson, FF, CH,44.4,44.310352
Krehbiel Joey, CH, FF,23.2,23.04699
Krehbiel Joey, CH, FC,19.8,19.905807
Kremer Dean, FF, FC,36.5,35.739067
Kremer Dean, FF, CH,31.3,31.334497
Kremer Dean, FF, CU,20.4,20.636011
Kuhl Chad, SI, SL,38.1,37.98527
Kuhl Chad, SI, KC,22.3,22.519684
Kuhl Chad, SI, CH,20.0,19.994497
Kuhl Chad, SI, FF,27.0,26.69708
Kuhnel Joel, SI, SL,36.3,35.97767
Kuhnel Joel, SI, FF,25.0,24.922527
Kuhnel Joel, SI, CH,32.2,32.62822
Lambert Jimmy, FF, SL,35.0,34.956306
Lambert Jimmy, FF, CH,22.2,22.125526
Lamet Dinelson, SL, FF,13.7,14.123065
Lange Alex, CU, SI,21.2,21.38539
Lange Alex, CU, CH,37.2,37.163708
Lauer Eric, FF, SL,40.7,39.602425
Lauer Eric, FF, CU,22.9,23.357622
Lauer Eric, FF, FC,26.5,26.392305
Lauer Eric, FF, CH,7.7,8.797136
Lawrence Casey, SL, CH,44.4,44.32066
Lawrence Justin, SI, SL,26.9,26.970684
Leclerc José, SL, FF,22.9,22.886324
Leclerc José, SL, CH,40.9,40.821964
Lee Dylan, FF, CU,47.2,47.08332
Lee Evan, FF, CU,24.2,24.25718
Leiter Jr. Mark, FF, SI,27.7,27.769073
Leiter Jr. Mark, FF, CH,44.0,43.590916
Leiter Jr. Mark, FF, CU,27.6,27.7647
Leiter Jr. Mark, FF, FC,20.8,21.860085
Lemoine Jacob, SI, SL,23.1,23.684658
Leone Dominic, SL, FF,31.1,30.244085
Leone Dominic, SL, FC,47.8,47.608498
Liberatore Matthew, FF, SI,21.4,21.576113
Liberatore Matthew, FF, CU,27.0,26.892351
Liberatore Matthew, FF, SL,34.9,34.583363
Liberatore Matthew, FF, CH,10.3,11.882869
Littell Zack, FF, SL,34.7,34.44686
Llovera Mauricio, SL, SI,29.3,29.389387
Lodolo Nick, SI, CU,30.8,30.972387
Lodolo Nick, SI, CH,38.7,38.898064
Logue Zach, FF, FC,14.5,15.294028
Logue Zach, FF, CU,25.9,25.93013
Logue Zach, FF, CH,31.5,31.22438
Long Sam, FF, CH,31.9,31.942429
Long Sam, FF, CU,15.6,15.516121
Lorenzen Michael, SI, FF,22.8,23.19923
Lorenzen Michael, SI, SL,23.9,24.490255
Lorenzen Michael, SI, CH,31.8,31.923277
Lorenzen Michael, SI, FC,31.9,31.68587
Loup Aaron, SI, FC,36.5,36.670662
Loup Aaron, SI, CH,50.0,49.97734
Loáisiga Jonathan, SI, CU,23.1,23.65822
Loáisiga Jonathan, SI, CH,52.9,52.92839
Luetge Lucas, FC, SL,31.7,32.050537
Luetge Lucas, FC, CU,27.6,27.549273
Lugo Seth, CU, FF,22.1,22.098877
Lugo Seth, CU, SI,21.8,21.90126
Lugo Seth, CU, SL,20.7,20.776258
Luzardo Jesús, CU, FF,17.3,17.79858
Luzardo Jesús, CU, SI,19.4,19.165615
Luzardo Jesús, CU, CH,41.4,41.00304
Lyles Jordan, FF, SL,32.0,32.488186
Lyles Jordan, FF, SI,36.4,35.26315
Lyles Jordan, FF, CH,28.2,28.240894
Lyles Jordan, FF, CU,14.9,15.713713
Lynch Daniel, FF, SL,40.0,39.828434
Lynch Daniel, FF, CH,31.7,31.690725
Lynch Daniel, FF, KC,17.9,17.92783
Lynn Lance, FF, FC,31.6,31.299664
Lynn Lance, FF, SI,34.8,34.584152
Lynn Lance, FF, SL,39.2,39.244354
Lynn Lance, FF, CU,34.0,33.63382
Lynn Lance, FF, CH,21.1,22.264381
López Jorge, SI, KC,27.3,27.524996
López Jorge, SI, CH,28.4,28.123686
López Jorge, SI, SL,30.4,30.07495
López Pablo, FF, CH,42.0,41.90371
López Pablo, FF, FC,26.1,25.573477
López Pablo, FF, SI,34.6,34.747055
López Pablo, FF, CU,23.1,23.239092
López Reynaldo, FF, SL,28.0,28.012865
López Reynaldo, FF, CU,32.1,31.030687
López Yoan, SL, FF,19.0,19.523872
Machado Andres, SI, FF,27.4,27.570024
Machado Andres, SI, SL,27.5,27.091034
Machado Andres, SI, CH,32.3,32.432266
Mahle Tyler, FF, FS,33.7,33.778984
Mahle Tyler, FF, SL,24.5,24.517708
Mahle Tyler, FF, FC,17.7,17.7348
Manaea Sean, SI, CH,34.7,34.686066
Manaea Sean, SI, SL,25.2,25.420832
Manning Matt, FF, SL,37.0,36.61918
Manoah Alek, FF, SL,30.4,30.254787
Manoah Alek, FF, SI,37.4,37.617718
Manoah Alek, FF, CH,31.8,31.94258
Mantiply Joe, SI, CU,44.6,44.477936
Mantiply Joe, SI, CH,58.3,58.32201
Marinaccio Ron, FF, CH,47.0,47.17462
Marinaccio Ron, FF, SL,13.5,14.063598
Marte Yunior, SL, SI,44.2,43.757343
Marte Yunior, SL, FF,23.5,23.440418
Martin Brett, CU, SI,32.0,32.385365
Martin Brett, CU, SL,38.5,38.428177
Martin Brett, CU, FF,31.6,31.318638
Martin Chris, FF, FC,18.0,19.118196
Martin Chris, FF, SI,45.2,44.892345
Martin Chris, FF, FS,30.0,29.86512
Martin Corbin, FF, CU,31.9,31.481972
Martin Corbin, FF, CH,18.5,20.026197
Martin Davis, FF, SL,43.4,42.48572
Martin Davis, FF, CH,29.7,29.435692
Martinez Nick, CH, FF,24.1,24.216482
Martinez Nick, CH, SI,38.9,38.45287
Martinez Nick, CH, CU,25.0,24.95693
Martinez Nick, CH, FC,33.0,33.15162
Martinez Seth, FF, SL,39.7,38.22203
Martinez Seth, FF, SI,38.8,38.994736
Martinez Seth, FF, CH,37.8,37.9909
Martínez Adrián, SI, CH,49.3,48.93042
Martínez Adrián, SI, SL,21.7,21.808584
Maton Phil, FF, CU,32.5,32.520042
Maton Phil, FF, SL,39.5,39.149647
Matz Steven, SI, CH,36.4,36.45339
Matz Steven, SI, CU,27.7,27.43056
Matzek Tyler, FF, SL,27.3,28.250101
May Trevor, FF, SL,15.6,15.6264925
Mayers Mike, FF, SL,33.3,33.322395
Mayers Mike, FF, FC,27.3,28.258362
Mayza Tim, SI, SL,22.4,22.967865
McCarty Kirk, FF, SL,25.6,26.811852
McClanahan Shane, FF, CH,40.5,40.426304
McClanahan Shane, FF, CU,22.4,22.59541
McClanahan Shane, FF, SL,42.6,42.560326
McFarland T.J., SI, CH,33.3,33.64108
McFarland T.J., SI, SL,28.3,27.950424
McGee Jake, FF, SL,25.5,25.868893
McHugh Collin, SL, FC,32.7,32.574795
McKenzie Triston, FF, CU,40.2,39.644733
McKenzie Triston, FF, SL,29.2,29.417416
Medina Adonis, SI, SL,25.6,25.597593
Medina Adonis, SI, FF,16.7,17.717943
Megill Trevor, FF, KC,27.8,27.536968
Megill Tylor, FF, CH,22.5,23.631157
Megill Tylor, FF, SL,26.7,26.578667
Melancon Mark, FC, KC,28.9,29.006178
Merryweather Julian, FF, SL,39.6,39.455914
Middleton Keynan, FF, SL,29.0,28.928024
Mikolas Miles, SL, FF,28.4,27.337055
Mikolas Miles, SL, SI,24.8,24.834114
Mikolas Miles, SL, CU,23.0,23.378674
Mikolas Miles, SL, CH,17.6,17.90633
Miley Wade, FC, CH,42.1,42.344276
Mills Alec, SI, FF,29.4,28.70735
Mills Alec, SI, CH,40.5,40.627758
Mills Wyatt, FF, SL,22.9,23.148003
Mills Wyatt, FF, SI,38.0,37.9166
Milner Hoby, SI, CU,22.6,22.577787
Milner Hoby, SI, CH,36.7,36.678047
Milone Tommy, FF, CH,42.4,42.665077
Minaya Juan, FF, CH,38.9,39.05468
Minor Mike, FF, CH,34.8,35.02342
Minor Mike, FF, SL,28.6,29.113768
Minor Mike, FF, KC,11.1,11.351535
Minter A.J., FF, FC,39.1,38.80102
Minter A.J., FF, CH,28.6,28.558615
Misiewicz Anthony, CU, FC,41.5,40.977364
Misiewicz Anthony, CU, FF,20.6,20.530972
Moll Sam, SL, SI,14.8,14.550501
Montas Frankie, FF, FS,43.0,42.327915
Montas Frankie, FF, SI,30.5,31.108873
Montas Frankie, FF, SL,28.7,28.601297
Montas Frankie, FF, FC,28.9,28.487955
Montero Rafael, FF, SI,45.8,45.651474
Montero Rafael, FF, CH,36.1,36.51431
Montero Rafael, FF, SL,23.9,23.430954
Montgomery Jordan, SI, CH,33.7,33.66946
Montgomery Jordan, SI, CU,36.1,35.818497
Montgomery Jordan, SI, FF,30.2,29.51501
Montgomery Jordan, SI, FC,22.4,22.75477
Moore Matt, FF, KC,35.3,35.229668
Moore Matt, FF, CH,39.7,39.645145
Moran Jovani, FF, CH,35.1,35.03193
Moreta Dauri, FF, SI,19.2,19.065277
Moreta Dauri, FF, CH,12.5,13.329398
Moreta Dauri, FF, SL,20.3,21.555202
Morgan Eli, FF, CH,33.7,33.937634
Morgan Eli, FF, SL,36.0,35.556026
Moronta Reyes, FF, SL,34.6,34.434193
Morton Charlie, CU, FF,21.4,21.509516
Morton Charlie, CU, FC,23.2,23.109072
Morton Charlie, CU, SI,13.4,13.761736
Morton Charlie, CU, CH,25.5,25.42479
Murfee Penn, SL, FF,26.2,26.28591
Murfee Penn, SL, SI,23.1,23.004286
Musgrove Joe, SL, FF,28.3,28.05714
Musgrove Joe, SL, CU,37.4,37.020855
Musgrove Joe, SL, FC,20.9,21.702272
Musgrove Joe, SL, SI,45.7,45.421505
Musgrove Joe, SL, CH,29.5,29.270132
Muñoz Andrés, SL, FF,28.8,28.522232
Márquez Germán, FF, SI,22.8,22.723116
Márquez Germán, FF, SL,34.8,34.662403
Márquez Germán, FF, KC,39.7,39.00535
Márquez Germán, FF, CH,18.4,18.31506
Nance Tommy, CU, SI,14.8,14.931504
Naughton Packy, FF, CH,50.0,49.08027
Naughton Packy, FF, SL,22.6,23.362373
Naughton Packy, FF, SI,25.6,25.543667
Nelson Kyle, SL, FF,24.4,23.68875
Nelson Nick, FF, CH,21.1,21.74803
Nelson Nick, FF, SL,27.0,26.91821
Neris Héctor, FF, FS,36.3,36.286198
Neris Héctor, FF, SI,46.4,45.67703
Newcomb Sean, FF, FC,29.2,29.529682
Nogosek Stephen, FC, FF,13.5,13.841137
Nola Aaron, FF, KC,45.5,45.175007
Nola Aaron, FF, SI,14.3,14.601431
Nola Aaron, FF, CH,39.7,39.82336
Nola Aaron, FF, FC,27.7,27.503675
Norris Daniel, FF, SL,28.7,28.730299
Norris Daniel, FF, CH,35.7,35.576748
Norwood James, FF, FS,42.7,42.576828
O'Day Darren, SL, FF,36.3,36.35701
Ober Bailey, FF, SL,37.5,37.45657
Ober Bailey, FF, CH,36.6,35.95559
Ober Bailey, FF, CU,23.1,23.195726
Odorizzi Jake, FF, FC,37.0,36.6765
Odorizzi Jake, FF, FS,28.0,28.395409
Odorizzi Jake, FF, SL,19.0,19.90434
Ohtani Shohei, SL, FF,18.8,18.971592
Ohtani Shohei, SL, FS,40.0,39.815044
Ohtani Shohei, SL, CU,23.5,23.779839
Ohtani Shohei, SL, FC,20.0,20.590696
Okert Steven, SL, FF,24.2,24.020695
Oller Adam, FF, FC,30.3,30.42167
Oller Adam, FF, SL,27.3,27.488789
Oller Adam, FF, SI,15.9,16.534168
Oller Adam, FF, CH,35.7,35.197823
Ort Kaleb, FF, SL,32.8,32.823772
Ortega Oliver, FF, CU,37.6,37.624622
Ottavino Adam, SL, SI,18.3,18.465378
Ottavino Adam, SL, FF,27.6,27.450876
Ottavino Adam, SL, CH,33.3,33.12893
Otto Glenn, SI, SL,31.2,31.47022
Otto Glenn, SI, FF,19.6,19.517946
Otto Glenn, SI, KC,22.3,22.29823
Otto Glenn, SI, CH,33.7,33.44334
Overton Connor, FF, SI,11.1,11.276972
Overton Connor, FF, SL,20.7,21.489523
Overton Connor, FF, CH,20.0,20.247833
Oviedo Johan, FF, SL,42.7,41.72693
Paddack Chris, FF, CH,50.0,50.063705
Paddack Chris, FF, CU,18.6,18.538805
Pagán Emilio, FF, FS,39.2,38.845387
Pagán Emilio, FF, FC,23.9,25.021624
Pallante Andre, FF, SL,19.6,20.681854
Pallante Andre, FF, CU,30.2,30.053514
Pallante Andre, FF, SI,18.5,19.07398
Payamps Joel, SL, FF,19.8,20.376385
Payamps Joel, SL, SI,40.3,39.98305
Payamps Joel, SL, CH,21.3,21.364874
Peacock Matt, SI, SL,31.0,31.300001
Peguero Elvis, SL, SI,26.6,26.554766
Pepiot Ryan, FF, CH,29.3,29.521328
Pepiot Ryan, FF, SL,33.3,33.190926
Peralta Freddy, FF, SL,31.8,32.518337
Peralta Freddy, FF, CU,23.1,22.974728
Peralta Freddy, FF, CH,37.7,37.218506
Peralta Wandy, CH, SI,23.8,24.044756
Peralta Wandy, CH, SL,39.4,38.782867
Peralta Wily, SL, FF,12.9,13.080363
Peralta Wily, SL, FS,39.2,38.719776
Peralta Wily, SL, SI,21.4,21.371592
Perez Francisco, FF, SL,37.2,36.540466
Peters Dillon, SI, CH,34.3,34.589012
Peters Dillon, SI, FF,31.9,31.563993
Peters Dillon, SI, CU,18.9,19.448008
Peters Dillon, SI, SL,29.4,28.697557
Peterson David, FF, SL,42.0,41.617527
Peterson David, FF, CH,19.8,20.443201
Peterson David, FF, SI,18.8,19.269325
Peterson David, FF, CU,31.4,31.229242
Phelps David, FF, KC,21.1,21.004204
Phelps David, FF, FC,25.4,25.468607
Phelps David, FF, SI,25.0,24.893835
Phillips Evan, SL, FC,30.2,28.573622
Phillips Evan, SL, FF,11.1,11.759198
Pilkington Konnor, FF, CH,32.6,32.743977
Pilkington Konnor, FF, SL,23.8,24.079174
Pineda Michael, FF, SL,30.1,30.402903
Pineda Michael, FF, CH,31.8,31.101423
Pivetta Nick, FF, KC,19.8,19.752884
Pivetta Nick, FF, SL,29.4,29.61272
Pivetta Nick, FF, CH,15.6,15.638871
Plesac Zach, FF, SL,43.3,43.325275
Plesac Zach, FF, CH,29.7,29.627184
Plesac Zach, FF, CU,24.0,23.789948
Poche Colin, FF, CU,23.1,23.186773
Pop Zach, SI, SL,20.8,21.090446
Poppen Sean, SI, SL,27.4,27.629253
Poteet Cody, CH, FF,18.6,18.905056
Poteet Cody, CH, SL,27.1,27.47525
Pressly Ryan, FF, SL,42.1,41.581345
Pressly Ryan, FF, CU,40.3,40.26018
Price David, FF, SI,29.8,30.133707
Price David, FF, FC,18.2,18.76311
Pruitt Austin, SL, FF,23.1,22.704397
Pruitt Austin, SL, CU,38.0,37.600197
Puk A.J., FF, SL,37.0,36.72661
Puk A.J., FF, SI,26.5,26.016037
Pérez Cionel, FF, SL,34.7,34.913097
Pérez Cionel, FF, SI,27.5,27.565916
Pérez Martín, SI, CH,42.6,42.256985
Pérez Martín, SI, FC,25.8,25.578703
Pérez Martín, SI, FF,11.9,12.590573
Pérez Martín, SI, CU,21.4,21.918415
Quantrill Cal, SI, FC,22.3,22.632763
Quantrill Cal, SI, CH,44.4,43.950813
Quantrill Cal, SI, FF,22.2,22.154278
Quantrill Cal, SI, CU,16.1,15.966473
Quintana José, FF, CU,36.0,36.02364
Quintana José, FF, CH,30.6,31.145449
Quintana José, FF, SI,24.2,24.28547
Rainey Tanner, FF, SL,43.6,43.699123
Raley Brooks, SL, SI,18.5,18.224096
Raley Brooks, SL, FC,24.1,24.384348
Raley Brooks, SL, CH,36.0,36.00767
Ramirez Noé, FF, CH,44.9,44.57012
Ramirez Noé, FF, CU,24.0,23.98302
Ramirez Yohan, SL, FF,19.4,19.442677
Ramirez Yohan, SL, SI,22.6,22.468906
Ramírez Erasmo, FC, SI,23.2,23.313232
Ramírez Erasmo, FC, CU,22.2,22.491844
Rasmussen Drew, FF, FC,31.2,31.245934
Rasmussen Drew, FF, SL,35.6,35.035427
Rasmussen Drew, FF, CU,27.8,27.931896
Ray Robbie, FF, SL,34.6,34.880337
Ray Robbie, FF, SI,31.0,30.992947
Ray Robbie, FF, KC,25.9,25.742132
Reed Jake, SL, SI,8.1,8.1792755
Reid-Foley Sean, FF, SL,32.3,32.27838
Richards Garrett, SL, CH,34.1,34.632626
Richards Garrett, SL, FF,25.0,25.143871
Richards Trevor, FF, CH,50.9,50.606766
Richards Trevor, FF, CU,18.0,18.502344
Robertson David, FC, KC,39.0,38.989254
Robertson David, FC, SL,39.1,38.35056
Robles Hansel, FF, SL,21.8,22.340528
Robles Hansel, FF, CH,14.3,14.601788
Rodriguez Eduardo, FF, FC,29.5,28.485645
Rodriguez Eduardo, FF, CH,37.0,36.869522
Rodriguez Eduardo, FF, SI,21.2,21.783754
Rodriguez Elvin, FF, SL,34.5,34.503784
Rodriguez Elvin, FF, CH,27.6,28.135925
Rodríguez Joely, SI, CH,48.3,48.160213
Rodríguez Joely, SI, FF,18.8,18.918045
Rodón Carlos, FF, SL,35.1,34.420635
Rodón Carlos, FF, CU,19.5,19.602451
Rogers Josh, FF, SL,29.1,29.080065
Rogers Josh, FF, SI,26.9,26.868029
Rogers Taylor, SL, SI,18.0,18.032627
Rogers Trevor, FF, CH,35.4,35.57907
Rogers Trevor, FF, SL,32.6,32.334137
Rogers Tyler, FF, SL,25.2,25.168898
Romano Jordan, FF, SL,35.7,35.481216
Romo Sergio, SL, SI,22.6,22.793682
Rosenberg Kenny, FF, CH,43.2,42.985497
Rucker Michael, FF, CU,20.8,21.056448
Rucker Michael, FF, SL,30.8,30.375261
Ruiz José, FF, CU,23.8,24.14669
Ruiz José, FF, CH,31.3,31.853928
Ryan Joe, FF, SL,40.4,40.025364
Ryan Joe, FF, CH,16.9,17.029919
Ryan Joe, FF, CU,21.1,21.040287
Ryu Hyun Jin, FF, CH,42.6,42.50143
Ryu Hyun Jin, FF, CU,25.0,25.086233
Ryu Hyun Jin, FF, FC,26.9,26.697096
Sampson Adrian, FF, SI,29.5,29.141857
Sampson Adrian, FF, SL,35.5,34.835175
Sampson Adrian, FF, CH,29.7,29.635157
Sampson Adrian, FF, FC,40.0,40.051514
Sanchez Aaron, SI, CU,37.0,36.456566
Sanchez Aaron, SI, FF,11.8,12.28038
Sanchez Aaron, SI, CH,38.3,38.038113
Sanders Phoenix, SL, FF,15.8,16.496166
Sandlin Nick, SL, SI,25.0,24.871113
Sandlin Nick, SL, FF,24.6,24.320597
Sandoval Patrick, SL, CH,39.8,39.737595
Sandoval Patrick, SL, FF,18.3,19.806154
Sandoval Patrick, SL, SI,23.0,23.121542
Sandoval Patrick, SL, CU,12.5,12.567214
Sands Cole, FF, CU,41.3,41.31563
Sands Cole, FF, CH,25.6,25.862675
Sanmartin Reiver, CH, SL,32.7,32.74849
Sanmartin Reiver, CH, SI,27.3,27.243431
Sanmartin Reiver, CH, FF,10.6,10.657574
Santana Dennis, SL, SI,23.4,23.697117
Santana Dennis, SL, CH,39.7,39.141304
Santillan Tony, SL, FF,16.7,16.455933
Sawamura Hirokazu, FF, FS,38.5,38.36362
Sawamura Hirokazu, FF, SL,18.5,19.038584
Sborz Josh, FF, SL,28.1,28.326647
Sborz Josh, FF, CU,25.0,25.000456
Scherzer Max, FF, SL,46.8,46.017555
Scherzer Max, FF, CH,35.9,35.828266
Scherzer Max, FF, FC,43.7,43.176456
Scherzer Max, FF, CU,17.1,17.60035
Schmidt Clarke, SL, SI,33.9,32.69995
Schmidt Clarke, SL, FF,14.9,16.252506
Schmidt Clarke, SL, KC,28.3,28.720362
Schreiber John, SL, FF,26.9,26.913565
Schreiber John, SL, SI,27.5,27.922028
Scott Tanner, SL, FF,16.3,16.456253
Scott Tayler, SL, SI,6.7,6.7032423
Seabold Connor, FF, CH,31.3,31.412867
Sears JP, FF, SL,26.9,26.623075
Sears JP, FF, CH,22.2,22.598537
Selman Sam, FF, SL,41.0,40.895565
Senzatela Antonio, FF, SL,25.2,25.506527
Senzatela Antonio, FF, CH,34.4,34.190365
Senzatela Antonio, FF, CU,37.3,37.04591
Senzatela Antonio, FF, SI,27.9,28.07674
Severino Luis, FF, CH,28.6,28.83087
Severino Luis, FF, SL,36.8,36.850536
Severino Luis, FF, FC,20.7,21.090029
Sewald Paul, FF, SL,23.4,23.744087
Shreve Chasen, FF, FS,30.7,30.890526
Shreve Chasen, FF, SL,30.2,30.021278
Silseth Chase, FF, FS,41.2,41.221405
Silseth Chase, FF, SL,34.8,33.941265
Singer Brady, SI, SL,37.7,37.43085
Singer Brady, SI, CH,11.8,11.771402
Skubal Tarik, SL, FF,27.4,27.159456
Skubal Tarik, SL, SI,25.8,25.707743
Skubal Tarik, SL, CH,40.4,40.284645
Skubal Tarik, SL, KC,30.6,30.350706
Small Ethan, FF, CH,3.3,3.721602
Smeltzer Devin, FF, CH,40.7,40.709393
Smeltzer Devin, FF, CU,29.2,28.93825
Smeltzer Devin, FF, SL,32.7,32.430702
Smith Caleb, FF, SL,37.8,37.62838
Smith Caleb, FF, CH,24.2,24.019344
Smith Drew, FF, SL,27.1,27.30338
Smith Joe, SI, FF,30.9,30.885836
Smith Joe, SI, SL,22.1,21.871122
Smith Will, SL, FF,23.0,23.08836
Smith Will, SL, CU,17.5,17.465937
Smyly Drew, KC, SI,25.8,25.886587
Smyly Drew, KC, FC,21.3,21.348886
Snead Kirby, SI, SL,29.6,29.265457
Snead Kirby, SI, FF,20.5,20.445374
Snell Blake, FF, SL,39.9,39.544285
Snell Blake, FF, CU,33.6,33.33075
Snell Blake, FF, CH,40.9,40.74997
Snider Collin, SL, SI,22.4,22.763132
Solomon Jared, SL, SI,13.6,13.811199
Soto Gregory, SI, FF,24.6,24.653578
Soto Gregory, SI, SL,24.7,24.787485
Sousa Bennett, SL, FF,20.8,20.819206
Speier Gabe, SL, SI,24.2,24.666073
Speier Gabe, SL, FF,15.4,15.032572
Springs Jeffrey, FF, CH,49.0,48.821545
Springs Jeffrey, FF, SL,27.6,27.939539
Springs Jeffrey, FF, SI,33.3,33.41946
Stammen Craig, SI, FC,28.8,27.9779
Stammen Craig, SI, KC,31.3,31.577673
Stanek Ryne, FF, FS,36.0,35.93073
Stanek Ryne, FF, SL,11.4,11.47681
Stashak Cody, SL, FF,26.9,26.931124
Staumont Josh, FF, CU,28.2,28.496592
Staumont Josh, FF, SI,25.5,25.615364
Steckenrider Drew, FF, CH,39.5,39.05536
Steele Justin, FF, SL,34.9,34.44262
Steele Justin, FF, SI,32.1,31.428228
Steele Justin, FF, CU,11.1,12.030156
Stephan Trevor, FF, FS,44.1,43.817966
Stephan Trevor, FF, SL,30.7,30.598146
Stephens Jackson, FF, CU,24.8,24.610233
Stephens Jackson, FF, SI,40.7,40.302345
Stephens Jackson, FF, CH,20.0,20.178198
Stephenson Robert, FF, SL,34.8,34.82178
Stout Eric, SL, FF,34.5,34.399136
Strahm Matt, FF, SL,23.3,23.237831
Strahm Matt, FF, CU,36.4,35.94547
Strahm Matt, FF, SI,38.5,38.10926
Stratton Chris, FF, CU,32.6,32.26386
Stratton Chris, FF, SL,39.2,38.08442
Stratton Chris, FF, CH,32.5,33.144207
Strickland Hunter, FF, SL,28.8,29.215725
Strider Spencer, FF, SL,37.1,36.61497
Strider Spencer, FF, CH,27.8,28.100658
Stripling Ross, FF, CH,50.0,48.50875
Stripling Ross, FF, SL,22.1,22.938
Stripling Ross, FF, KC,17.2,17.15902
Stripling Ross, FF, SI,46.5,46.383774
Stroman Marcus, SI, SL,29.7,29.883108
Stroman Marcus, SI, FC,46.6,46.346066
Stroman Marcus, SI, FS,25.7,25.738106
Stroman Marcus, SI, FF,25.4,25.319311
Strzelecki Peter, FF, SL,23.3,23.41453
Suarez José, FF, CH,40.2,40.218742
Suarez José, FF, CU,21.6,21.328074
Suarez José, FF, SL,34.3,34.16903
Suarez José, FF, SI,22.9,22.515234
Suarez Robert, FF, SI,24.0,24.2353
Suarez Robert, FF, CH,32.4,32.513245
Sulser Beau, SI, CH,40.6,40.559586
Sulser Beau, SI, FC,34.1,34.13069
Sulser Cole, FF, CH,43.0,43.16259
Suter Brent, FF, CH,32.0,32.053223
Suárez Ranger, SI, CH,37.1,36.932922
Suárez Ranger, SI, FF,20.3,20.661596
Suárez Ranger, SI, CU,50.0,49.601036
Suárez Ranger, SI, FC,25.6,25.743536
Suárez Ranger, SI, SL,21.2,21.630356
Swanson Erik, FF, FS,40.0,39.743683
Swanson Erik, FF, SL,43.4,43.193657
Swarmer Matt, SL, FF,22.2,22.448816
Syndergaard Noah, SI, CH,35.5,35.41333
Syndergaard Noah, SI, SL,21.8,22.487226
Syndergaard Noah, SI, FF,31.0,30.723476
Syndergaard Noah, SI, CU,24.3,24.167368
Sánchez Aníbal, CH, FC,32.3,31.71098
Sánchez Aníbal, CH, SI,20.0,20.055262
Sánchez Aníbal, CH, FF,21.6,21.795065
Sánchez Cristopher, SI, CH,26.7,26.99
Sánchez Cristopher, SI, SL,28.6,28.65298
Sánchez Miguel, CH, FF,12.5,12.980182
Taillon Jameson, FF, SL,30.8,31.924654
Taillon Jameson, FF, CU,28.5,28.893665
Taillon Jameson, FF, FC,31.1,31.109564
Taillon Jameson, FF, SI,43.4,43.3838
Taillon Jameson, FF, CH,35.3,34.880848
Tapia Domingo, SI, FF,32.1,31.876722
Tate Dillon, SI, CH,32.6,32.755054
Tate Dillon, SI, SL,29.6,29.64931
Taylor Blake, FF, SL,25.0,25.754095
Tepera Ryan, SL, FF,14.0,14.662874
Tepera Ryan, SL, SI,39.1,38.922863
Tepera Ryan, SL, CH,30.6,30.794127
Tetreault Jackson, FF, FC,31.0,31.397243
Thielbar Caleb, FF, CU,35.0,35.053978
Thielbar Caleb, FF, SL,25.0,25.10433
Thompson Keegan, FF, FC,24.4,24.763622
Thompson Keegan, FF, CU,33.5,32.972015
Thompson Keegan, FF, SI,29.5,28.872505
Thompson Keegan, FF, CH,21.8,21.910278
Thompson Keegan, FF, SL,27.5,27.607744
Thompson Ryan, SI, SL,31.5,31.35808
Thompson Ryan, SI, FF,26.3,26.162449
Thompson Zach, FC, SI,26.6,26.750803
Thompson Zach, FC, CU,27.0,27.011345
Thompson Zach, FC, FF,27.0,26.728771
Thompson Zach, FC, CH,36.8,36.853077
Thompson Zack, FF, CU,25.0,24.850397
Thornburg Tyler, FF, CU,28.3,28.15855
Thornton Trent, FF, SL,32.7,32.79501
Thornton Trent, FF, CU,20.5,20.535719
