,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Barlow, Scott's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,121,100.0%,62.0%,56.2%,6.6%,33.9%,28.9%,40.5%,10.7%,22.3%,15.0%,53.7%,66.1%,0.0%,0.0%
"Cishek, Steve's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,121,100.0%,51.2%,48.8%,3.3%,46.3%,24.8%,49.6%,6.5%,38.8%,35.3%,61.2%,64.5%,0.0%,0.0%
"Nelson, Nick's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,121,100.0%,76.9%,58.7%,20.7%,16.5%,22.3%,37.2%,26.9%,14.9%,54.3%,44.6%,86.8%,0.0%,0.0%
"Syndergaard, Noah's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,121,100.0%,61.2%,48.8%,14.0%,38.0%,25.6%,52.1%,23.0%,30.6%,50.0%,50.4%,94.2%,0.0%,0.0%
"Crowe, Wil's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,120,100.0%,55.8%,49.2%,6.7%,38.3%,20.8%,45.0%,11.9%,21.7%,29.6%,46.7%,85.8%,0.0%,0.0%
"Darvish, Yu's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,120,100.0%,61.7%,55.0%,7.5%,31.7%,23.3%,39.2%,12.2%,15.0%,35.3%,50.8%,75.8%,0.0%,0.0%
"Sands, Cole's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,120,100.0%,73.3%,62.5%,12.5%,23.3%,40.8%,35.8%,17.0%,20.0%,34.2%,53.3%,71.7%,0.0%,0.0%
"Shreve, Chasen's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,120,100.0%,67.5%,62.5%,7.5%,31.7%,30.0%,39.2%,11.1%,32.5%,36.0%,48.3%,90.0%,0.0%,0.0%
"Voth, Austin's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,120,100.0%,61.7%,50.8%,11.7%,37.5%,24.2%,49.2%,18.9%,29.2%,48.5%,45.8%,89.2%,0.0%,0.0%
"Blackburn, Paul's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,119,100.0%,62.2%,48.7%,13.4%,36.1%,17.6%,49.6%,21.6%,20.2%,47.1%,45.4%,85.7%,0.0%,0.0%
"Domínguez, Seranthony's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,119,100.0%,68.1%,60.5%,8.4%,27.7%,26.9%,36.1%,12.3%,23.5%,23.8%,42.9%,79.8%,0.0%,0.0%
"Price, David's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,119,100.0%,67.2%,53.8%,14.3%,30.3%,25.2%,44.5%,21.3%,26.1%,42.9%,54.6%,68.9%,0.0%,0.0%
"Rodriguez, Elvin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,119,100.0%,62.2%,58.8%,4.2%,30.3%,25.2%,34.5%,6.8%,22.7%,28.0%,52.9%,77.3%,0.0%,0.0%
"Tepera, Ryan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,119,100.0%,65.5%,60.5%,5.9%,30.3%,31.1%,36.1%,9.0%,26.1%,19.0%,47.1%,78.2%,0.0%,0.0%
"Carrasco, Carlos's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,118,100.0%,72.0%,62.7%,11.0%,26.3%,23.7%,37.3%,15.3%,25.4%,20.0%,44.9%,89.0%,0.0%,0.0%
"Cueto, Johnny's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,118,100.0%,76.3%,64.4%,11.9%,20.3%,28.8%,32.2%,15.6%,16.1%,64.5%,40.7%,110.2%,0.0%,0.0%
"Cueto, Johnny's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,118,100.0%,71.2%,68.6%,2.5%,24.6%,29.7%,27.1%,3.6%,19.5%,42.1%,54.2%,83.1%,0.0%,0.0%
"Houck, Tanner's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,118,100.0%,70.3%,59.3%,14.4%,26.3%,18.6%,40.7%,20.5%,15.3%,54.5%,44.1%,102.5%,0.0%,0.0%
"Houser, Adrian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,118,100.0%,69.5%,57.6%,12.7%,25.4%,37.3%,38.1%,18.3%,14.4%,38.8%,35.6%,89.8%,0.0%,0.0%
"Howard, Spencer's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,118,100.0%,72.9%,62.7%,11.9%,24.6%,24.6%,36.4%,16.3%,16.9%,32.4%,50.8%,78.0%,0.0%,0.0%
"Jiménez, Dany's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,118,100.0%,54.2%,40.7%,14.4%,43.2%,16.9%,57.6%,26.6%,24.6%,89.7%,57.6%,72.9%,0.0%,0.0%
"Nola, Aaron's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,118,100.0%,83.1%,69.5%,15.3%,14.4%,28.0%,29.7%,18.4%,20.3%,40.7%,26.3%,126.3%,0.0%,0.0%
"Phelps, David's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,118,100.0%,66.1%,53.4%,14.4%,27.1%,30.5%,41.5%,21.8%,18.6%,30.3%,41.5%,92.4%,0.0%,0.0%
"Santillan, Tony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,118,100.0%,73.7%,61.0%,13.6%,22.9%,35.6%,36.4%,18.4%,16.1%,33.3%,44.9%,81.4%,0.0%,0.0%
"Wendelken, J.B.'s FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,118,100.0%,69.5%,55.1%,16.1%,24.6%,29.7%,40.7%,23.2%,21.2%,23.3%,51.7%,79.7%,0.0%,0.0%
"Houck, Tanner's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,117,100.0%,74.4%,65.0%,12.0%,22.2%,29.9%,34.2%,16.1%,21.4%,41.4%,49.6%,83.8%,0.0%,0.0%
"Loáisiga, Jonathan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,117,100.0%,62.4%,56.4%,7.7%,33.3%,27.4%,41.0%,12.3%,19.7%,40.9%,40.2%,105.1%,0.0%,0.0%
"Silseth, Chase's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,117,100.0%,53.0%,47.0%,7.7%,41.0%,22.2%,48.7%,14.5%,29.1%,26.7%,50.4%,71.8%,0.0%,0.0%
"Thornton, Trent's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,117,100.0%,71.8%,64.1%,8.5%,28.2%,26.5%,36.8%,11.9%,19.7%,64.3%,52.1%,81.2%,0.0%,0.0%
"Winckowski, Josh's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,117,100.0%,64.1%,51.3%,12.8%,29.1%,25.6%,41.9%,20.0%,23.1%,35.4%,48.7%,83.8%,0.0%,0.0%
"Crowe, Wil's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,116,100.0%,72.4%,59.5%,13.8%,22.4%,27.6%,36.2%,19.0%,17.2%,56.8%,46.6%,96.6%,0.0%,0.0%
"Kaprielian, James's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,116,100.0%,53.4%,51.7%,2.6%,44.0%,17.2%,46.6%,4.8%,30.2%,7.1%,55.2%,74.1%,0.0%,0.0%
"Martínez, Adrián's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,116,100.0%,68.1%,60.3%,8.6%,30.2%,27.6%,38.8%,12.7%,25.9%,24.0%,48.3%,88.8%,0.0%,0.0%
"Moll, Sam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,116,100.0%,62.1%,53.4%,9.5%,33.6%,22.4%,43.1%,15.3%,19.0%,47.6%,44.0%,95.7%,0.0%,0.0%
"Rucker, Michael's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,116,100.0%,79.3%,69.0%,13.8%,19.0%,37.1%,32.8%,17.4%,20.7%,28.6%,46.6%,86.2%,0.0%,0.0%
"Suarez, José's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,116,100.0%,79.3%,58.6%,20.7%,16.4%,27.6%,37.1%,26.1%,11.2%,69.8%,49.1%,94.0%,0.0%,0.0%
"Borucki, Ryan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,115,100.0%,60.9%,56.5%,5.2%,28.7%,20.0%,33.9%,8.6%,16.5%,17.6%,45.2%,85.2%,0.0%,0.0%
"Civale, Aaron's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,115,100.0%,57.4%,53.0%,4.3%,38.3%,20.0%,42.6%,7.6%,22.6%,30.4%,46.1%,84.3%,0.0%,0.0%
"De Los Santos, Yerry's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,115,100.0%,59.1%,55.7%,4.3%,37.4%,24.3%,41.7%,7.4%,22.6%,35.7%,51.3%,97.4%,0.0%,0.0%
"Givens, Mychal's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,115,100.0%,60.0%,49.6%,12.2%,35.7%,17.4%,47.8%,20.3%,30.4%,68.8%,49.6%,79.1%,0.0%,0.0%
"Herget, Jimmy's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,115,100.0%,58.3%,56.5%,1.7%,36.5%,24.3%,38.3%,3.0%,18.3%,25.0%,54.8%,81.7%,0.0%,0.0%
"Minor, Mike's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,115,100.0%,62.6%,56.5%,6.1%,33.9%,27.0%,40.0%,9.7%,24.3%,44.0%,50.4%,83.5%,0.0%,0.0%
"Pop, Zach's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,115,100.0%,66.1%,63.5%,5.2%,29.6%,24.3%,34.8%,7.9%,25.2%,60.0%,44.3%,97.4%,0.0%,0.0%
"Smith, Will's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,115,100.0%,73.0%,57.4%,17.4%,26.1%,24.3%,43.5%,23.8%,19.1%,76.2%,41.7%,94.8%,0.0%,0.0%
"Acevedo, Domingo's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,114,100.0%,83.3%,57.0%,28.9%,15.8%,23.7%,44.7%,34.7%,26.3%,73.3%,46.5%,78.1%,0.0%,0.0%
"Chavez, Jesse's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,114,100.0%,57.0%,50.9%,8.8%,36.8%,14.9%,45.6%,15.4%,31.6%,33.3%,51.8%,75.4%,0.0%,0.0%
"Loup, Aaron's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,114,100.0%,78.1%,57.9%,21.1%,21.1%,32.5%,42.1%,27.0%,23.7%,54.5%,36.8%,94.7%,0.0%,0.0%
"Montgomery, Jordan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,114,100.0%,58.8%,47.4%,10.5%,38.6%,21.1%,49.1%,17.9%,42.1%,135.5%,43.9%,108.8%,0.0%,0.0%
"Moran, Jovani's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,114,100.0%,62.3%,49.1%,15.8%,32.5%,28.1%,48.2%,25.4%,23.7%,47.8%,48.2%,82.5%,0.0%,0.0%
"Skubal, Tarik's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,114,100.0%,78.1%,48.2%,29.8%,18.4%,27.2%,48.2%,38.2%,1.8%,85.3%,46.5%,85.1%,0.0%,0.0%
"Thompson, Zack's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,114,100.0%,68.4%,61.4%,8.8%,26.3%,36.0%,35.1%,12.8%,16.7%,14.3%,43.0%,80.7%,0.0%,0.0%
"Bradish, Kyle's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,113,100.0%,74.3%,68.1%,8.0%,19.5%,34.5%,27.4%,10.7%,12.4%,65.0%,42.5%,93.8%,0.0%,0.0%
"Garrett, Braxton's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,113,100.0%,58.4%,54.9%,3.5%,38.9%,24.8%,42.5%,6.1%,22.1%,27.3%,49.6%,87.6%,0.0%,0.0%
"Gore, MacKenzie's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,113,100.0%,51.3%,38.9%,11.5%,43.4%,19.5%,54.9%,22.4%,31.0%,54.5%,48.7%,75.2%,0.0%,0.0%
"Smith, Drew's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,113,100.0%,75.2%,56.6%,22.1%,23.0%,20.4%,45.1%,29.4%,12.4%,67.5%,47.8%,85.8%,0.0%,0.0%
"Strickland, Hunter's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,113,100.0%,63.7%,54.9%,9.7%,31.0%,26.5%,40.7%,15.3%,26.5%,41.9%,47.8%,95.6%,0.0%,0.0%
"Okert, Steven's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,112,100.0%,66.1%,60.7%,5.4%,27.7%,35.7%,33.0%,8.1%,12.5%,21.6%,45.5%,87.5%,0.0%,0.0%
"Robles, Hansel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,112,100.0%,67.0%,52.7%,17.0%,30.4%,24.1%,47.3%,25.3%,16.1%,54.2%,44.6%,83.9%,0.0%,0.0%
"Suarez, Robert's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,112,100.0%,60.7%,47.3%,13.4%,33.9%,34.8%,47.3%,22.1%,25.0%,44.7%,56.3%,65.2%,0.0%,0.0%
"Woodruff, Brandon's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,112,100.0%,69.6%,39.3%,30.4%,24.1%,18.8%,54.5%,43.6%,13.4%,77.1%,35.7%,105.4%,0.0%,0.0%
"Adam, Jason's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,111,100.0%,50.5%,40.5%,12.6%,46.8%,18.9%,59.5%,25.0%,33.3%,83.3%,53.2%,81.1%,0.0%,0.0%
"Arano, Víctor's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,111,100.0%,66.7%,53.2%,14.4%,26.1%,26.1%,40.5%,21.6%,23.4%,78.6%,45.9%,82.9%,0.0%,0.0%
"Clevinger, Mike's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,111,100.0%,70.3%,55.9%,14.4%,26.1%,19.8%,40.5%,20.5%,24.3%,23.5%,53.2%,75.7%,0.0%,0.0%
"Jefferies, Daulton's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,111,100.0%,63.1%,57.7%,5.4%,32.4%,24.3%,37.8%,8.6%,18.9%,33.3%,42.3%,92.8%,0.0%,0.0%
"Martin, Chris's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,111,100.0%,72.1%,57.7%,17.1%,25.2%,27.9%,42.3%,23.8%,27.0%,43.8%,54.1%,67.6%,0.0%,0.0%
"Matz, Steven's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,111,100.0%,80.2%,65.8%,17.1%,18.0%,27.9%,35.1%,21.3%,18.0%,55.6%,34.2%,102.7%,0.0%,0.0%
"Coleman, Dylan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,110,100.0%,55.5%,40.0%,16.4%,37.3%,14.5%,53.6%,29.5%,20.0%,73.7%,44.5%,93.6%,0.0%,0.0%
"Herget, Jimmy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,110,100.0%,56.4%,50.0%,6.4%,40.9%,21.8%,47.3%,11.3%,30.0%,45.5%,49.1%,73.6%,0.0%,0.0%
"López, Pablo's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,110,100.0%,70.9%,60.9%,10.9%,25.5%,27.3%,36.4%,15.4%,27.3%,23.8%,55.5%,84.5%,0.0%,0.0%
"Morton, Charlie's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,110,100.0%,62.7%,59.1%,4.5%,33.6%,21.8%,38.2%,7.2%,21.8%,38.9%,46.4%,79.1%,0.0%,0.0%
"Domínguez, Seranthony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,109,100.0%,69.7%,51.4%,21.1%,24.8%,31.2%,45.9%,30.3%,15.6%,58.3%,53.2%,92.7%,0.0%,0.0%
"Mahle, Tyler's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,109,100.0%,49.5%,41.3%,8.3%,42.2%,18.3%,50.5%,16.7%,33.0%,41.7%,36.7%,107.3%,0.0%,0.0%
"Pepiot, Ryan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,109,100.0%,57.8%,45.0%,15.6%,40.4%,25.7%,56.0%,27.0%,25.7%,36.4%,43.1%,85.3%,0.0%,0.0%
"Peralta, Wandy's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,109,100.0%,84.4%,66.1%,18.3%,13.8%,25.7%,32.1%,21.7%,15.6%,88.0%,37.6%,105.5%,0.0%,0.0%
"Peralta, Wandy's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,109,100.0%,67.0%,59.6%,8.3%,32.1%,23.9%,40.4%,12.3%,27.5%,21.1%,51.4%,78.9%,0.0%,0.0%
"Urías, Julio's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,109,100.0%,81.7%,64.2%,17.4%,14.7%,22.9%,32.1%,21.3%,15.6%,63.6%,35.8%,107.3%,0.0%,0.0%
"Wainwright, Adam's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,109,100.0%,52.3%,47.7%,4.6%,43.1%,23.9%,47.7%,8.8%,22.0%,37.0%,41.3%,94.5%,0.0%,0.0%
"Zimmermann, Bruce's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,109,100.0%,61.5%,49.5%,11.9%,36.7%,16.5%,48.6%,19.4%,21.1%,62.1%,45.9%,74.3%,0.0%,0.0%
"Adon, Joan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,108,100.0%,68.5%,63.0%,6.5%,25.9%,27.8%,32.4%,9.5%,22.2%,40.6%,42.6%,90.7%,0.0%,0.0%
"Bassitt, Chris's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,108,100.0%,55.6%,49.1%,9.3%,39.8%,28.7%,49.1%,16.7%,29.6%,59.1%,40.7%,97.2%,0.0%,0.0%
"Cueto, Johnny's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,108,100.0%,78.7%,63.9%,19.4%,15.7%,41.7%,35.2%,24.7%,11.1%,36.4%,50.9%,82.4%,0.0%,0.0%
"Duffey, Tyler's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,108,100.0%,66.7%,56.5%,10.2%,31.5%,22.2%,41.7%,15.3%,25.0%,55.2%,50.9%,93.5%,0.0%,0.0%
"Gonsolin, Tony's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,108,100.0%,32.4%,30.6%,2.8%,63.9%,17.6%,66.7%,8.6%,36.1%,33.3%,61.1%,71.3%,0.0%,0.0%
"Oller, Adam's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,108,100.0%,82.4%,70.4%,13.0%,15.7%,37.0%,28.7%,15.7%,14.8%,13.6%,46.3%,82.4%,0.0%,0.0%
"Oviedo, Johan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,108,100.0%,59.3%,45.4%,13.9%,37.0%,23.1%,50.9%,23.4%,23.1%,43.8%,42.6%,75.0%,0.0%,0.0%
"Payamps, Joel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,108,100.0%,68.5%,50.0%,19.4%,26.9%,27.8%,46.3%,28.4%,19.4%,34.5%,51.9%,82.4%,0.0%,0.0%
"Taillon, Jameson's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,108,100.0%,71.3%,62.0%,11.1%,25.0%,32.4%,36.1%,15.6%,24.1%,50.0%,44.4%,101.9%,0.0%,0.0%
"Thompson, Zach's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,108,100.0%,67.6%,55.6%,17.6%,28.7%,18.5%,46.3%,26.0%,23.1%,42.9%,40.7%,94.4%,0.0%,0.0%
"Vest, Will's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,108,100.0%,74.1%,63.0%,11.1%,21.3%,33.3%,32.4%,15.0%,20.4%,70.8%,44.4%,82.4%,0.0%,0.0%
"Winder, Josh's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,108,100.0%,66.7%,55.6%,11.1%,31.5%,13.9%,42.6%,16.7%,15.7%,57.1%,48.1%,84.3%,0.0%,0.0%
"Yarbrough, Ryan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,108,100.0%,76.9%,56.5%,20.4%,18.5%,26.9%,38.9%,26.5%,23.1%,42.9%,50.9%,85.2%,0.0%,0.0%
"Adam, Jason's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,107,100.0%,78.5%,58.9%,24.3%,20.6%,32.7%,44.9%,31.0%,19.6%,48.3%,59.8%,69.2%,0.0%,0.0%
"Clase, Emmanuel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,107,100.0%,74.8%,54.2%,23.4%,24.3%,23.4%,47.7%,31.3%,16.8%,60.0%,39.3%,85.0%,0.0%,0.0%
"Gilbert, Tyler's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,107,100.0%,73.8%,64.5%,10.3%,21.5%,29.9%,31.8%,13.9%,14.0%,22.9%,51.4%,78.5%,0.0%,0.0%
"Lauer, Eric's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,107,100.0%,81.3%,71.0%,10.3%,14.0%,33.6%,24.3%,12.6%,17.8%,38.1%,51.4%,87.9%,0.0%,0.0%
"Maton, Phil's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,107,100.0%,66.4%,51.4%,15.0%,33.6%,23.4%,48.6%,22.5%,23.4%,42.4%,49.5%,94.4%,0.0%,0.0%
"Ramirez, Noé's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,107,100.0%,57.0%,49.5%,7.5%,39.3%,16.8%,46.7%,13.1%,35.5%,33.3%,44.9%,101.9%,0.0%,0.0%
"Suárez, Ranger's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,107,100.0%,82.2%,63.6%,19.6%,15.0%,23.4%,34.6%,23.9%,15.0%,80.0%,29.9%,132.7%,0.0%,0.0%
"Bummer, Aaron's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,106,100.0%,50.9%,39.6%,11.3%,44.3%,13.2%,55.7%,22.2%,22.6%,41.2%,50.9%,81.1%,0.0%,0.0%
"Cotton, Jharel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,106,100.0%,76.4%,59.4%,18.9%,19.8%,29.2%,38.7%,24.7%,7.5%,48.2%,46.2%,77.4%,0.0%,0.0%
"Ferguson, Caleb's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,106,100.0%,79.2%,59.4%,21.7%,18.9%,39.6%,40.6%,27.4%,14.2%,27.3%,56.6%,62.3%,0.0%,0.0%
"Lugo, Seth's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,106,100.0%,63.2%,55.7%,9.4%,32.1%,23.6%,41.5%,14.9%,14.2%,38.7%,51.9%,76.4%,0.0%,0.0%
"Luzardo, Jesús's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,106,100.0%,63.2%,55.7%,14.2%,33.0%,27.4%,47.2%,22.4%,20.8%,42.9%,51.9%,83.0%,0.0%,0.0%
"Nance, Tommy's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,106,100.0%,54.7%,44.3%,11.3%,40.6%,18.9%,51.9%,20.7%,20.8%,70.3%,47.2%,84.0%,0.0%,0.0%
"Wilson, Steven's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,106,100.0%,62.3%,53.8%,8.5%,34.9%,23.6%,43.4%,13.6%,25.5%,51.6%,44.3%,98.1%,0.0%,0.0%
"Clevinger, Mike's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,105,100.0%,75.2%,61.0%,14.3%,20.0%,28.6%,34.3%,19.0%,20.0%,47.7%,43.8%,83.8%,0.0%,0.0%
"Eflin, Zach's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,105,100.0%,81.0%,67.6%,15.2%,12.4%,33.3%,27.6%,18.8%,17.1%,23.7%,43.8%,87.6%,0.0%,0.0%
"Leiter Jr., Mark's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,105,100.0%,61.0%,54.3%,9.5%,38.1%,22.9%,47.6%,15.6%,28.6%,33.3%,55.2%,74.3%,0.0%,0.0%
"Martinez, Nick's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,105,100.0%,58.1%,50.5%,8.6%,34.3%,21.0%,42.9%,14.8%,22.9%,41.7%,33.3%,109.5%,0.0%,0.0%
"Phillips, Evan's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,105,100.0%,66.7%,61.0%,6.7%,30.5%,30.5%,37.1%,10.0%,21.9%,57.1%,54.3%,75.2%,0.0%,0.0%
"Schreiber, John's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,105,100.0%,78.1%,57.1%,23.8%,18.1%,30.5%,41.9%,30.5%,10.5%,48.9%,55.2%,76.2%,0.0%,0.0%
"Stephenson, Robert's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,105,100.0%,67.6%,50.5%,18.1%,28.6%,23.8%,46.7%,26.8%,20.0%,56.5%,52.4%,92.4%,0.0%,0.0%
"Tetreault, Jackson's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,105,100.0%,71.4%,65.7%,6.7%,25.7%,23.8%,32.4%,9.3%,17.1%,23.8%,41.9%,91.4%,0.0%,0.0%
"Bush, Matt's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,104,100.0%,62.5%,50.0%,13.5%,36.5%,19.2%,50.0%,21.5%,30.8%,59.3%,51.0%,75.0%,0.0%,0.0%
"Castro, Miguel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,104,100.0%,63.5%,44.2%,19.2%,32.7%,19.2%,51.9%,30.3%,18.3%,61.3%,49.0%,84.6%,0.0%,0.0%
"Chafin, Andrew's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,104,100.0%,63.5%,59.6%,6.7%,33.7%,23.1%,40.4%,10.6%,24.0%,27.3%,37.5%,94.2%,0.0%,0.0%
